Name,mode,scale,label,kid,fid,sfid,faceid,losstype,eta
guide_mode=dynamic-two-0.5*a*(1-a)+scale=200+target=14255+losstype=cosine+eta=1.0,dynamic-two-0.5*a*(1-a),200,14255,0.030883828,44.0372998,123.2842062,0.680397391,cosine,1.0
guide_mode=dynamic-two-0.5*a*(1-a)+scale=200+target=14255+losstype=l2+eta=1.0,dynamic-two-0.5*a*(1-a),200,14255,0.030877506,44.03425224,123.2976183,0.680375457,l2,1.0
guide_mode=dynamic-two-0.5*a*(1-a)+scale=200+target=21177+losstype=cosine+eta=1.0,dynamic-two-0.5*a*(1-a),200,21177,0.030529484,43.78318353,123.364203,0.848252535,cosine,1.0
guide_mode=dynamic-two-0.5*a*(1-a)+scale=200+target=21177+losstype=l2+eta=1.0,dynamic-two-0.5*a*(1-a),200,21177,0.030506264,43.76721758,123.3664414,0.848284721,l2,1.0
guide_mode=dynamic-two-0.5*a*(1-a)+scale=500+target=03437+losstype=cosine+eta=1.0,dynamic-two-0.5*a*(1-a),500,3437,0.033101942,46.0375851,125.497413,0.584458411,cosine,1.0
guide_mode=dynamic-two-0.5*a*(1-a)+scale=500+target=03437+losstype=l2+eta=1.0,dynamic-two-0.5*a*(1-a),500,3437,0.033117462,46.03571484,125.495656,0.584468663,l2,1.0
guide_mode=dynamic-two-0.5*a*(1-a)+scale=500+target=14255+losstype=cosine+eta=1.0,dynamic-two-0.5*a*(1-a),500,14255,0.031177435,44.4211598,125.1022609,0.519012511,cosine,1.0
guide_mode=dynamic-two-0.5*a*(1-a)+scale=500+target=14255+losstype=l2+eta=1.0,dynamic-two-0.5*a*(1-a),500,14255,0.031182924,44.43633883,125.0696332,0.51910907,l2,1.0
guide_mode=dynamic-two-0.5*a*(1-a)+scale=500+target=21177+losstype=cosine+eta=1.0,dynamic-two-0.5*a*(1-a),500,21177,0.029854894,43.42744224,125.3204693,0.709148169,cosine,1.0
guide_mode=dynamic-two-0.5*a*(1-a)+scale=500+target=21177+losstype=l2+eta=1.0,dynamic-two-0.5*a*(1-a),500,21177,0.029850906,43.42297187,125.3398694,0.709097803,l2,1.0
guide_mode=manifold+scale=10+target=03437+losstype=cosine+eta=0.5,manifold,10,3437,0.01922732,35.72580857,126.0794321,0.621877551,cosine,0.5
guide_mode=manifold+scale=10+target=03437+losstype=cosine+eta=1.0,manifold,10,3437,0.030502135,43.88549663,121.4723305,0.645060658,cosine,1.0
guide_mode=manifold+scale=10+target=03437+losstype=l2+eta=0.5,manifold,10,3437,0.019223154,35.71360376,126.0775715,0.622018337,l2,0.5
guide_mode=manifold+scale=10+target=03437+losstype=l2+eta=1.0,manifold,10,3437,0.030487766,43.86414481,121.4724149,0.645015717,l2,1.0
