Name,mode,scale,label,validity,fid,sfid,is,precision,recall
guide_mode=dynamic-full-0.1*a*(1-a)+scale=5+label=6,dynamic-full-0.1*a*(1-a),5,6,0.0815,116.0231488,150.2195488,7.999214172,0.328613281,0.595
guide_mode=dynamic-one-0.5*(1-a)+scale=50+label=6,dynamic-one-0.5*(1-a),50,6,0.5762,116.0595106,144.7202543,5.3089118,0.440917969,0.334
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=20+label=8,dynamic-two-0.5*a-0.5*(1-a),20,8,0.7563,60.19060396,119.0119938,4.10009861,0.515625,0.402
guide_mode=dynamic-full-0.1*a*(1-a)+scale=2+label=6,dynamic-full-0.1*a*(1-a),2,6,0.0718,117.4094919,150.9266758,8.034475327,0.327148438,0.594
guide_mode=dynamic-nog-0.5+scale=5+label=6,dynamic-nog-0.5,5,6,0.4746,119.0573181,151.3729819,5.079770565,0.380859375,0.291
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=100+label=6,dynamic-two-0.5*a-0.5*(1-a),100,6,0.5356,120.8300338,149.6852762,5.694037914,0.428710938,0.445
guide_mode=dynamic-full-0.5*a*(1-a)+scale=5+label=1,dynamic-full-0.5*a*(1-a),5,1,0.1255,120.9034207,144.3883331,7.527911186,0.1796875,0.624
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=50+label=8,dynamic-two-0.5*a-0.5*(1-a),50,8,0.7642,70.58813071,119.7001892,4.115904808,0.46484375,0.366
guide_mode=dynamic-one-0.1*(1-a)+scale=50+label=6,dynamic-one-0.1*(1-a),50,6,0.5732,123.4341112,146.7438063,4.925593376,0.42578125,0.211
guide_mode=manifold+scale=50+label=6,manifold,50,6,0.4976,124.1275526,149.0177776,5.672109127,0.395019531,0.4
guide_mode=dynamic-full-0.1*a*(1-a)+scale=20+label=1,dynamic-full-0.1*a*(1-a),20,1,0.1152,124.3875352,141.3502566,7.654366016,0.162109375,0.61
guide_mode=dynamic-two-0.5*a-0.5*(1-a)+scale=100+label=8,dynamic-two-0.5*a-0.5*(1-a),100,8,0.7021,84.46735186,120.8292502,4.602209568,0.438964844,0.367
guide_mode=manifold+scale=1+label=8,manifold,1,8,0.6948,56.06576214,110.6211455,4.669867516,0.474121094,0.534
guide_mode=dynamic-nog-0.5*a+scale=100+label=6,dynamic-nog-0.5*a,100,6,0.5435,125.4326073,151.740009,5.248906612,0.441894531,0.285
guide_mode=dynamic-nog-0.5*a+scale=2+label=6,dynamic-nog-0.5*a,2,6,0.3555,125.9802506,151.8840207,5.332092285,0.360351563,0.36
guide_mode=dynamic-full-0.5*a*(1-a)+scale=2+label=1,dynamic-full-0.5*a*(1-a),2,1,0.0923,127.7496073,146.6986465,8.098011017,0.158691406,0.62
guide_mode=dynamic-one-0.5*(1-a)+scale=100+label=6,dynamic-one-0.5*(1-a),100,6,0.5352,128.6857382,150.1330745,5.430869579,0.440429688,0.317
guide_mode=dynamic-one-0.1*(1-a)+scale=5+label=6,dynamic-one-0.1*(1-a),5,6,0.4424,128.7093736,146.8004681,5.104187965,0.384277344,0.258
guide_mode=manifold+scale=2+label=8,manifold,2,8,0.8091,46.89473095,110.9718601,4.326877117,0.536621094,0.512
guide_mode=dynamic-full-0.1*a*(1-a)+scale=5+label=1,dynamic-full-0.1*a*(1-a),5,1,0.0806,131.605534,144.1355136,8.112687111,0.139648438,0.627
guide_mode=manifold+scale=5+label=8,manifold,5,8,0.8608,46.66950853,112.2766205,4.035800934,0.549804688,0.438
guide_mode=dynamic-full-0.1*a*(1-a)+scale=2+label=1,dynamic-full-0.1*a*(1-a),2,1,0.0728,132.8513589,144.7172724,8.08893013,0.134277344,0.612
guide_mode=dynamic-nog-0.5+scale=100+label=6,dynamic-nog-0.5,100,6,0.5254,133.5333989,153.2874134,5.379141331,0.404785156,0.272
guide_mode=dynamic-one-0.5*(1-a)+scale=2+label=6,dynamic-one-0.5*(1-a),2,6,0.3223,133.551995,147.1349162,5.488903522,0.368164063,0.389
guide_mode=dynamic-nog-0.5+scale=2+label=6,dynamic-nog-0.5,2,6,0.3247,134.378238,160.9763292,5.2111063,0.34765625,0.294
guide_mode=dynamic-one-0.1*(1-a)+scale=100+label=6,dynamic-one-0.1*(1-a),100,6,0.5205,136.7349427,151.0175411,5.259345055,0.403808594,0.212
guide_mode=manifold+scale=20+label=8,manifold,20,8,0.7637,70.60154539,115.1539238,4.599548817,0.482421875,0.403
guide_mode=manifold+scale=50+label=8,manifold,50,8,0.6855,88.27116548,117.174799,4.982554436,0.427246094,0.369
guide_mode=dynamic-one-0.1*(1-a)+scale=2+label=6,dynamic-one-0.1*(1-a),2,6,0.2842,142.8432455,153.9272796,5.023994446,0.327636719,0.244
